db_gino.py:41 #INFO     [2025-11-12 01:38:16,655] - tg_bot.db_models.db_gino - 0| Connecting to PostgreSQL...
browser_processing.py:472 #INFO     [2025-11-12 01:38:17,221] - root - 0| Чекер сообщений запущен! Процесс обработки записи №
browser_processing.py:104 #ERROR    [2025-11-12 01:38:17,223] - root - 0| Записи в bookings не существует!
browser_processing.py:481 #INFO     [2025-11-12 01:38:17,735] - root - 0| Получил queue message в процесс обработки записи №
browser_processing.py:483 #INFO     [2025-11-12 01:38:17,735] - root - 0| Останавливаю процесс...
browser_processing.py:487 #INFO     [2025-11-12 01:38:17,735] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:18,745] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:19,755] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:20,768] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:21,777] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:22,787] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:23,796] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:24,802] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:25,813] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:26,823] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:27,831] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:28,843] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:29,849] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:30,866] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:31,870] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:32,881] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:33,893] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:34,903] - root - 0| Ожидаю закрытия сессий...
browser_processing.py:487 #INFO     [2025-11-12 01:38:35,913] - root - 0| Ожидаю закрытия сессий...
utils.py:141 #INFO     [2025-11-12 01:38:36,635] - root - 0| Keyboard interrupt: wrapper
